booking_id,member_id,class_start_at,booking_status
B0001,M001,2026-01-20T09:45,completed
B0002,M001,2026-01-25T16:15,completed
B0003,M001,2026-02-01T09:45,completed
B0004,M001,2026-02-14T08:15,completed
B0005,M001,2026-02-17T17:45,completed
B0006,M001,2026-02-20T14:15,cancelled
B0007,M002,2026-01-19T10:15,completed
B0008,M002,2026-01-22T19:45,completed
B0009,M002,2026-01-23T18:15,completed
B0010,M002,2026-02-01T09:45,completed
B0011,M002,2026-02-02T08:15,completed
B0012,M002,2026-02-06T16:15,cancelled
B0013,M003,2026-01-19T10:15,completed
B0014,M003,2026-02-01T09:45,completed
B0015,M003,2026-02-11T11:45,completed
B0016,M003,2026-02-12T10:15,no_show
B0017,M004,2026-01-19T10:15,completed
B0018,M004,2026-01-22T19:45,completed
B0019,M004,2026-01-30T11:45,completed
B0020,M004,2026-02-19T15:45,no_show
B0021,M005,2026-01-20T09:45,completed
B0022,M005,2026-01-31T10:15,completed
B0023,M005,2026-02-05T17:45,completed
B0024,M005,2026-02-06T16:15,no_show
B0025,M006,2026-01-17T12:15,completed
B0026,M006,2026-01-19T10:15,no_show
B0027,M006,2026-01-31T10:15,completed
B0028,M007,2026-02-06T16:15,no_show
B0029,M007,2026-03-06T12:15,completed
B0030,M007,2026-03-08T10:15,no_show
B0031,M008,2025-12-16T08:15,completed
B0032,M008,2025-12-17T19:45,no_show
B0033,M008,2026-01-06T11:45,completed
B0034,M009,2025-12-21T15:45,completed
B0035,M009,2025-12-30T18:15,completed
B0036,M009,2026-01-08T09:45,cancelled
B0037,M011,2026-01-21T08:15,completed
B0038,M011,2026-01-25T16:15,completed
B0039,M011,2026-01-26T15:45,completed
B0040,M011,2026-01-30T11:45,completed
B0041,M011,2026-02-03T19:45,completed
B0042,M011,2026-02-04T18:15,cancelled
B0043,M012,2026-01-26T15:45,completed
B0044,M012,2026-01-27T14:15,completed
B0045,M012,2026-01-28T13:45,completed
B0046,M012,2026-01-29T12:15,completed
B0047,M012,2026-01-31T10:15,completed
B0048,M012,2026-02-09T13:45,cancelled
B0049,M013,2026-02-20T14:15,completed
B0050,M013,2026-02-27T19:45,completed
B0051,M013,2026-03-10T08:15,completed
B0052,M013,2026-03-13T17:45,no_show
B0053,M014,2026-01-21T08:15,completed
B0054,M014,2026-02-03T19:45,completed
B0055,M014,2026-02-10T12:15,completed
B0056,M014,2026-02-15T19:45,no_show
B0057,M015,2026-02-02T08:15,completed
B0058,M015,2026-02-07T15:45,completed
B0059,M015,2026-02-09T13:45,completed
B0060,M015,2026-02-22T12:15,no_show
B0061,M016,2026-02-15T19:45,completed
B0062,M016,2026-03-11T19:45,no_show
B0063,M016,2026-03-12T18:15,completed
B0064,M017,2026-01-18T11:45,no_show
B0065,M017,2026-02-04T18:15,completed
B0066,M017,2026-02-07T15:45,no_show
B0067,M018,2025-12-22T14:15,completed
B0068,M018,2025-12-30T18:15,no_show
B0069,M018,2026-01-04T13:45,completed
B0070,M019,2026-01-13T16:15,completed
B0071,M019,2026-01-17T12:15,completed
B0072,M019,2026-01-19T10:15,cancelled
B0073,M021,2026-01-17T12:15,completed
B0074,M021,2026-01-24T17:45,completed
B0075,M021,2026-01-25T16:15,completed
B0076,M021,2026-01-26T15:45,completed
B0077,M021,2026-01-28T13:45,completed
B0078,M021,2026-02-04T18:15,cancelled
B0079,M022,2026-01-13T16:15,completed
B0080,M022,2026-01-17T12:15,completed
B0081,M022,2026-01-28T13:45,completed
B0082,M022,2026-02-03T19:45,completed
B0083,M022,2026-02-07T15:45,completed
B0084,M022,2026-02-11T11:45,cancelled
B0085,M023,2026-01-20T09:45,completed
B0086,M023,2026-02-01T09:45,completed
B0087,M023,2026-02-03T19:45,completed
B0088,M023,2026-02-04T18:15,no_show
B0089,M024,2026-01-19T10:15,completed
B0090,M024,2026-01-21T08:15,completed
B0091,M024,2026-01-28T13:45,completed
B0092,M024,2026-01-29T12:15,no_show
B0093,M025,2026-01-18T11:45,completed
B0094,M025,2026-01-20T09:45,completed
B0095,M025,2026-01-31T10:15,completed
B0096,M025,2026-02-07T15:45,no_show
B0097,M026,2026-01-20T09:45,completed
B0098,M026,2026-01-29T12:15,no_show
B0099,M026,2026-02-11T11:45,completed
B0100,M027,2026-01-15T14:15,no_show
B0101,M027,2026-01-18T11:45,completed
B0102,M027,2026-01-20T09:45,no_show
B0103,M028,2025-12-15T09:45,completed
B0104,M028,2025-12-19T17:45,no_show
B0105,M028,2025-12-31T17:45,completed
B0106,M029,2026-01-04T13:45,completed
B0107,M029,2026-01-20T09:45,completed
B0108,M029,2026-01-21T08:15,cancelled
B0109,M031,2026-01-30T11:45,completed
B0110,M031,2026-01-31T10:15,completed
B0111,M031,2026-02-11T11:45,completed
B0112,M031,2026-02-20T14:15,completed
B0113,M031,2026-03-01T17:45,completed
B0114,M031,2026-03-06T12:15,cancelled
B0115,M032,2026-01-10T19:45,completed
B0116,M032,2026-02-02T08:15,completed
B0117,M032,2026-02-13T09:45,completed
B0118,M032,2026-02-15T19:45,completed
B0119,M032,2026-02-24T10:15,completed
B0120,M032,2026-03-02T16:15,cancelled
B0121,M033,2026-01-18T11:45,completed
B0122,M033,2026-01-24T17:45,completed
B0123,M033,2026-01-26T15:45,completed
B0124,M033,2026-01-27T14:15,no_show
B0125,M034,2026-02-19T15:45,completed
B0126,M034,2026-02-21T13:45,completed
B0127,M034,2026-02-27T19:45,completed
B0128,M034,2026-03-09T09:45,no_show
B0129,M035,2026-01-21T08:15,completed
B0130,M035,2026-01-26T15:45,completed
B0131,M035,2026-01-27T14:15,completed
B0132,M035,2026-02-05T17:45,no_show
B0133,M036,2026-01-17T12:15,completed
B0134,M036,2026-01-19T10:15,no_show
B0135,M036,2026-01-26T15:45,completed
B0136,M037,2026-01-28T13:45,no_show
B0137,M037,2026-01-29T12:15,completed
B0138,M037,2026-01-30T11:45,no_show
B0139,M038,2026-01-22T19:45,completed
B0140,M038,2026-01-24T17:45,no_show
B0141,M038,2026-02-03T19:45,completed
B0142,M039,2025-12-27T09:45,completed
B0143,M039,2026-01-01T16:15,completed
B0144,M039,2026-01-07T10:15,cancelled
B0145,M041,2026-01-20T09:45,completed
B0146,M041,2026-01-21T08:15,completed
B0147,M041,2026-01-24T17:45,completed
B0148,M041,2026-01-30T11:45,completed
B0149,M041,2026-01-31T10:15,completed
B0150,M041,2026-02-03T19:45,cancelled
B0151,M042,2026-01-13T16:15,completed
B0152,M042,2026-01-29T12:15,completed
B0153,M042,2026-01-31T10:15,completed
B0154,M042,2026-02-03T19:45,completed
B0155,M042,2026-02-18T16:15,completed
B0156,M042,2026-02-26T08:15,cancelled
B0157,M043,2026-01-22T19:45,completed
B0158,M043,2026-01-27T14:15,completed
B0159,M043,2026-01-30T11:45,completed
B0160,M043,2026-02-01T09:45,no_show
B0161,M044,2026-01-18T11:45,completed
B0162,M044,2026-01-26T15:45,completed
B0163,M044,2026-02-01T09:45,completed
B0164,M044,2026-02-05T17:45,no_show
B0165,M045,2026-01-24T17:45,completed
B0166,M045,2026-01-26T15:45,completed
B0167,M045,2026-02-09T13:45,completed
B0168,M045,2026-02-12T10:15,no_show
B0169,M046,2026-01-14T15:45,completed
B0170,M046,2026-01-15T14:15,no_show
B0171,M046,2026-01-22T19:45,completed
B0172,M047,2026-01-19T10:15,no_show
B0173,M047,2026-01-31T10:15,completed
B0174,M047,2026-02-21T13:45,no_show
B0175,M048,2025-12-15T09:45,completed
B0176,M048,2025-12-19T17:45,no_show
B0177,M048,2025-12-28T08:15,completed
B0178,M049,2026-01-27T14:15,completed
B0179,M049,2026-03-28T14:15,completed
B0180,M049,2026-04-04T19:45,cancelled
