cost_id,order_id,company_id,cost_category,cost_amount,linked_status,recorded_at
COST00001,SO0001,CO001,labor,84.46,linked,2026-01-08T09:15
COST00002,SO0001,CO001,parts,103.22,linked,2026-01-08T15:15
COST00003,SO0001,CO001,logistics,46.92,linked,2026-01-08T23:15
COST00004,SO0002,CO001,labor,91.08,linked,2026-01-10T13:45
COST00005,SO0002,CO001,parts,111.32,linked,2026-01-10T19:45
COST00006,SO0002,CO001,logistics,50.6,linked,2026-01-11T03:45
COST00007,SO0003,CO002,labor,185.47,linked,2026-01-12T17:15
COST00008,SO0003,CO002,parts,226.69,linked,2026-01-12T23:15
COST00009,SO0003,CO002,logistics,103.04,linked,2026-01-13T07:15
COST00010,SO0004,CO003,labor,254.88,linked,2026-01-14T19:45
COST00011,SO0004,CO003,parts,311.52,linked,2026-01-15T01:45
COST00012,SO0004,CO003,logistics,141.6,linked,2026-01-15T09:45
COST00013,SO0005,CO005,labor,107.64,linked,2026-01-17T06:15
COST00014,SO0005,CO005,parts,131.56,linked,2026-01-17T12:15
COST00015,SO0005,CO005,logistics,59.8,linked,2026-01-17T20:15
COST00016,SO0006,CO006,labor,132.48,linked,2026-01-12T21:45
COST00017,SO0006,CO006,parts,161.92,linked,2026-01-13T03:45
COST00018,SO0006,CO006,logistics,73.6,linked,2026-01-13T11:45
COST00019,SO0007,CO001,labor,150.23,linked,2026-01-15T09:15
COST00020,SO0007,CO001,parts,183.61,linked,2026-01-15T15:15
COST00021,SO0007,CO001,logistics,83.46,linked,2026-01-15T23:15
COST00022,SO0008,CO001,labor,131.76,linked,2026-01-17T05:45
COST00023,SO0008,CO001,parts,161.04,linked,2026-01-17T11:45
COST00024,SO0008,CO001,logistics,73.2,linked,2026-01-17T19:45
COST00025,,CO001,unlinked_purchase,91.0,unlinked,2026-01-17T09:45
COST00026,SO0009,CO001,labor,80.32,linked,2026-01-19T00:15
COST00027,SO0009,CO001,parts,98.16,linked,2026-01-19T06:15
COST00028,SO0009,CO001,logistics,44.62,linked,2026-01-19T14:15
COST00029,SO0010,CO003,labor,338.69,linked,2026-01-20T19:45
COST00030,SO0010,CO003,parts,413.95,linked,2026-01-21T01:45
COST00031,SO0010,CO003,logistics,188.16,linked,2026-01-21T09:45
COST00032,SO0011,CO004,labor,197.89,linked,2026-01-22T22:15
COST00033,SO0011,CO004,parts,241.87,linked,2026-01-23T04:15
COST00034,SO0011,CO004,logistics,109.94,linked,2026-01-23T12:15
COST00035,SO0012,CO005,labor,224.64,linked,2026-01-18T21:45
COST00036,SO0012,CO005,parts,274.56,linked,2026-01-19T03:45
COST00037,SO0012,CO005,logistics,124.8,linked,2026-01-19T11:45
COST00038,SO0012,CO005,external_service,83.2,linked,2026-01-19T15:45
COST00039,SO0014,CO001,labor,151.63,linked,2026-01-23T10:45
COST00040,SO0014,CO001,parts,185.33,linked,2026-01-23T16:45
COST00041,SO0014,CO001,logistics,84.24,linked,2026-01-24T00:45
