contact_id,customer_id,company_id,contact_type,contact_channel,contact_at,contact_outcome
CONT00001,CUST015,CO001,satisfaction_check,WhatsApp,2026-01-16T05:45,reached
CONT00002,CUST015,CO001,recall_campaign,WhatsApp,2026-04-01T10:00,no_response
CONT00003,CUST030,CO003,satisfaction_check,WhatsApp,2026-01-20T13:45,reached
CONT00004,CUST037,CO005,satisfaction_check,WhatsApp,2026-03-18T11:45,reached
CONT00005,CUST044,CO006,satisfaction_check,WhatsApp,2026-01-18T17:45,reached
CONT00006,CUST044,CO006,b2b_account_review,Email,2026-03-24T14:30,reached
CONT00007,CUST003,CO001,satisfaction_check,WhatsApp,2026-02-26T16:45,reached
CONT00008,CUST003,CO001,recall_campaign,WhatsApp,2026-04-02T10:00,no_response
CONT00009,CUST011,CO001,satisfaction_check,WhatsApp,2026-01-23T03:45,reached
CONT00010,CUST018,CO001,satisfaction_check,WhatsApp,2026-03-20T03:45,reached
CONT00011,CUST025,CO003,satisfaction_check,WhatsApp,2026-01-26T19:45,reached
CONT00012,CUST040,CO005,satisfaction_check,WhatsApp,2026-01-24T23:45,reached
CONT00013,CUST040,CO005,b2b_account_review,Email,2026-03-28T14:30,reached
CONT00014,CUST013,CO001,satisfaction_check,WhatsApp,2026-03-03T14:45,reached
CONT00015,CUST013,CO001,quote_follow_up,Phone,2026-01-26T11:15,no_response
CONT00016,CUST021,CO002,satisfaction_check,WhatsApp,2026-02-02T11:45,reached
CONT00017,CUST028,CO003,b2b_account_review,Email,2026-03-31T14:30,reached
CONT00018,CUST042,CO005,recall_campaign,WhatsApp,2026-03-27T10:00,scheduled_visit
CONT00019,CUST002,CO001,satisfaction_check,WhatsApp,2026-02-04T04:45,reached
CONT00020,CUST031,CO004,satisfaction_check,WhatsApp,2026-02-06T01:45,reached
CONT00021,CUST004,CO001,quote_follow_up,Phone,2026-03-09T03:45,no_response
CONT00022,CUST026,CO003,quote_follow_up,Phone,2026-02-06T21:45,no_response
CONT00023,CUST033,CO004,satisfaction_check,WhatsApp,2026-03-23T21:45,reached
CONT00024,CUST041,CO005,satisfaction_check,WhatsApp,2026-02-16T17:45,reached
CONT00025,CUST007,CO001,satisfaction_check,WhatsApp,2026-02-21T08:45,reached
CONT00026,CUST014,CO001,satisfaction_check,WhatsApp,2026-03-26T16:45,reached
CONT00027,CUST036,CO004,satisfaction_check,WhatsApp,2026-02-23T17:45,reached
CONT00028,CUST036,CO004,recall_campaign,WhatsApp,2026-04-02T10:00,scheduled_visit
CONT00029,CUST036,CO004,b2b_account_review,Email,2026-04-01T14:30,reached
CONT00030,CUST024,CO002,recall_campaign,WhatsApp,2026-04-03T10:00,scheduled_visit
CONT00031,CUST024,CO002,b2b_account_review,Email,2026-03-26T14:30,reached
CONT00032,CUST039,CO005,quote_follow_up,Phone,2026-02-25T13:15,no_response
CONT00033,CUST046,CO006,satisfaction_check,WhatsApp,2026-03-05T13:45,reached
CONT00034,CUST027,CO003,satisfaction_check,WhatsApp,2026-03-07T09:45,reached
