member_id,plan_name,monthly_fee,membership_start_date,membership_end_date
M001,Basic,79.00,2025-11-27,
M002,Basic,79.00,2025-07-19,
M003,Premium,129.00,2025-12-05,
M004,Basic,79.00,2025-11-19,
M005,Premium Plus,179.00,2025-02-21,
M006,Premium,129.00,2025-03-08,
M007,Basic,79.00,2026-02-05,
M008,Basic,79.00,2025-05-06,
M009,Premium,129.00,2025-03-06,
M010,Premium Plus,179.00,2026-02-13,
M011,Corporate,249.00,2025-07-26,
M012,Premium,129.00,2025-04-11,
M013,Basic,79.00,2026-02-20,
M014,Basic,79.00,2025-04-17,
M015,Premium Plus,179.00,2025-04-05,
M016,Basic,79.00,2026-02-08,
M017,Basic,79.00,2025-06-03,2026-02-20
M018,Premium,129.00,2025-12-07,
M019,Basic,79.00,2025-02-15,
M020,Premium Plus,179.00,2025-09-24,
M021,Premium,129.00,2025-01-22,
M022,Corporate,249.00,2025-03-15,
M023,Basic,79.00,2025-01-13,
M024,Premium,129.00,2025-12-29,
M025,Premium Plus,179.00,2025-06-28,
M026,Basic,79.00,2025-10-25,
M027,Premium,129.00,2025-12-29,
M028,Basic,79.00,2025-07-08,
M029,Basic,79.00,2025-06-15,
M030,Premium Plus,179.00,2025-07-14,
M031,Basic,79.00,2025-11-25,
M032,Basic,79.00,2025-07-18,
M033,Corporate,249.00,2025-11-21,
M034,Basic,79.00,2026-02-16,2026-03-07
M035,Premium Plus,179.00,2025-03-08,
M036,Premium,129.00,2025-12-02,
M037,Basic,79.00,2025-02-26,
M038,Basic,79.00,2026-01-13,
M039,Premium,129.00,2025-12-18,
M040,Premium Plus,179.00,2025-06-27,
M041,Basic,79.00,2025-04-23,
M042,Premium,129.00,2025-05-08,
M043,Basic,79.00,2025-10-19,
M044,Corporate,249.00,2025-06-01,
M045,Premium Plus,179.00,2025-10-17,
M046,Basic,79.00,2025-07-02,
M047,Basic,79.00,2025-04-09,
M048,Premium,129.00,2025-05-02,
M049,Basic,79.00,2026-01-25,2026-03-05
M050,Premium Plus,179.00,2025-02-14,
