snapshot_date,account_id,plan_id,mrr_amount,subscription_status
2025-11-01,A001,PLN002,650,active
2025-12-01,A001,PLN002,650,active
2026-01-01,A001,PLN003,1250,active
2026-02-01,A001,PLN003,1250,active
2026-03-01,A001,PLN003,1250,active
2026-04-01,A001,PLN004,2400,active
2025-11-01,A002,PLN001,250,active
2025-12-01,A002,PLN001,250,active
2026-01-01,A002,PLN001,250,active
2026-02-01,A002,PLN002,650,active
2026-03-01,A002,PLN002,650,active
2026-04-01,A002,PLN002,650,active
2025-11-01,A003,PLN003,1250,active
2025-12-01,A003,PLN003,1250,active
2026-01-01,A003,PLN003,1250,active
2026-02-01,A003,PLN003,1250,active
2026-03-01,A003,PLN003,1250,active
2026-04-01,A003,PLN003,1250,active
2025-11-01,A004,PLN002,650,active
2025-12-01,A004,PLN002,650,active
2026-01-01,A004,PLN001,250,active
2026-02-01,A004,PLN001,250,active
2026-03-01,A004,PLN001,250,active
2026-04-01,A004,PLN001,250,active
2025-11-01,A005,PLN001,0,cancelled
2025-12-01,A005,PLN001,0,cancelled
2026-01-01,A005,PLN001,250,active
2026-02-01,A005,PLN001,250,active
2026-03-01,A005,PLN002,650,active
2026-04-01,A005,PLN002,650,active
2025-11-01,A006,PLN002,650,active
2025-12-01,A006,PLN002,650,active
2026-01-01,A006,PLN002,650,active
2026-02-01,A006,PLN002,650,active
2026-03-01,A006,PLN002,0,cancelled
2026-04-01,A006,PLN002,0,cancelled
2025-11-01,A007,PLN004,2400,active
2025-12-01,A007,PLN004,2400,active
2026-01-01,A007,PLN004,2400,active
2026-02-01,A007,PLN004,2400,active
2026-03-01,A007,PLN003,1250,active
2026-04-01,A007,PLN003,1250,active
2025-11-01,A008,PLN001,250,active
2025-12-01,A008,PLN002,650,active
2026-01-01,A008,PLN002,650,active
2026-02-01,A008,PLN002,650,active
2026-03-01,A008,PLN003,1250,active
2026-04-01,A008,PLN003,1250,active
